"votes.Томенко","votes.Бондаренко","votes.Берёза","votes.Гусовский","votes.Пузанов","votes.Мирный","votes.Поживанов","company","period","sample","method","link","votes.Батькивщина","votes.Слуга народа","votes.Блок Порошенко","votes.Гражданская позиция","votes.Рідна країна","votes.Рух новых сил","votes.Самопомощь","votes.Партия О.Ляшко","votes.Свобода","votes.Оппозиционный блок","votes.Другая партия/Другой кандидат","votes.Не пойду на выборы","votes.Затруднились ответить","votes.Против всех","votes.Тимошенко","votes.Порошенко","votes.Зеленский","votes.Гриценко","votes.Вакарчук","votes.Рабинович","votes.Садовый","votes.Ляшко","votes.Бойко","votes.Королевская","error","votes.За життя","votes.Рух «Справедливость»","votes.Партия Надежды Савченко","votes.Единый Центр","votes.Возрождение","votes.УКРОП","votes.Народный фронт","votes.Сильная Украина","votes.Сила людей","votes.Наш край","votes.Народный контроль","votes.5.10","votes.Кличко","votes.Омельченко","votes.Монтян","votes.Думчев","votes.Балашов","votes.Богдан","votes.Мигаль","votes.Рябоконь","votes.Мамоян","votes.Шахов","votes.Мошенский","votes.Кобзарь","votes.Краснов","votes.Рычкова","votes.Микитась","votes.Власенко","votes.Блауш","votes.Фирсов","votes.Насалик","votes.Шевченко","votes.Тебешевская","votes.Гошовский","votes.Сикора","votes.Вилкул","votes.Семенченко","votes.Колесник","votes.Сова","votes.Левицкий","votes.Бойченко","votes.Бородин","votes.Тернавский","votes.Шекула","votes.Ярошенко","votes.Молодежь к власти","votes.Доверяй делам","votes.СДП","votes.Соколов","votes.Сухомлин","votes.Цимбалюк","votes.Атрошенко","votes.Казаков","votes.Грицишин","votes.Филатов","votes.Райкович","votes.Стрижаков","votes.Миколаенко","votes.Мангер","votes.Буряк","votes.Фролов","votes.Ефимов","votes.Панков","votes.Каспрук","votes.Михайлишин","votes.Вершина","votes.Терехов","votes.Моргунов","votes.Щербаковская","votes.Кошулинский","votes.Ефименко","votes.Дикий","votes.Малецкий","votes.Калашник","votes.Марцинкив","votes.Романюк","votes.Товстенюк","votes.Европейская партия","votes.Савченко","votes.Качур","votes.Ратушняк","votes.Андреев ","votes.Чубирко","votes.Бадида","votes.Волошин","votes.Иванян","votes.Поддубная","votes.Пилипенко","votes.Дроздова","votes.Головач","votes.Кавунник","votes.Плахотник","votes.Поруч","votes.Родной город","votes.Солидарность правых сил","votes.Надал","votes.Пастух","votes.Ландяк","votes.Блихар","votes.Вонс","votes.Пивторак","votes.Царик","votes.Кинаш","votes.Труханов","votes.Боровик","votes.Гурвиц","votes.Кивалов","votes.Фабрикант","votes.Вейдер","votes.Морская партия","votes.Кальцев","votes.Син","votes.Старух","votes.Новая политика","votes.Волонтерская партия","votes.Блок Дарта Вейдера","votes.Единство","votes.Решительные граждане","votes.Демократический альянс","votes.Гацько","votes.Корбан","votes.Ехануров","votes.Гражданская сила","votes.УГП","votes.НРУ","votes.Рух за реформы","votes.Кернес","votes.Ситенко","votes.Сапронов","votes.Балута","votes.Давтян","votes.Родзинский","votes.Швайка","votes.Меркулова","votes.Гирняк","votes.Добродомов","votes.Юринець","votes.Курячий","votes.Чеберда","votes.Чурило","votes.Леонов","votes.Бедей","votes.Копча","votes.Национальный корпус","votes.Хомко","votes.Якимец","votes.Муляренко","votes.Бучинский","votes.Кантарий","votes.Лащук","votes.Шинкаренко","votes.Заричнюк","votes.Цинко","votes.Аграрная партия","votes.Бабенко","votes.Светловский","votes.Крыжов","votes.Смалий","votes.Караманиц","votes.Милобог","votes.Партия ветеранов Афганистана","votes.Лысенко","votes.Епифанов","votes.Клочко","votes.Лантушенко","votes.Жук","votes.Крамченков","votes.Гринцов","votes.Гранатуров","votes.Дятлов","votes.Сенкевич","votes.Воронов","votes.Клименко","votes.Жело","votes.Губский","votes.Кроль","votes.Воля","votes.Социалисты","votes.Баляш","votes.Лях","votes.Зонтов","votes.Казацкий","votes.Третьяков","votes.Нечипоренко","votes.Табалов","votes.Атаманчук","votes.Санасарян","votes.Пузаков","votes.Михальонок","votes.Максюта","votes.ППУ","votes.Зинкевич","votes.Васюник","votes.Галасюк","votes.Тягнибок","votes.Яценюк","votes.Якимчук","votes.Мельничук","votes.Пургаш","votes.Кушнирик","votes.Козак","votes.Коломиец","votes.Кишлярук","votes.КПУ","votes.Гришин","votes.Завгородняя","votes.Пожидаев","votes.Зотов","votes.Кныш","votes.Бакай","votes.Гончарук","votes.Шаповалов","votes.Чепурной","votes.Синица","votes.Степаненко","votes.Дихтярь","votes.Подколзин","votes.Кумпан","votes.Чернышин","votes.Белоцерковская","votes.Самарский","votes.Фурман","votes.Бутков","votes.Пригеба","votes.Романенко","votes.Нова держава","votes.СДПУ(о)","votes.Булавка","votes.Крупский","votes.Шебанов ","votes.Закора","votes.Правый сектор","votes.За конкретные дела","votes.Фисак","votes.Старун","votes.Бычков","votes.Киселев","votes.Бовкун","votes.Лященко","votes.Кравец","votes.Наявко","votes.Рыбаков","votes.Сидоренко","votes.Минько","votes.Романов","votes.Чаппа","votes.Рябиков","votes.Андрос","votes.Метелица","votes.Искандеров","votes.Тихонов","votes.Житник","votes.Кириленко","votes.Волошенков","votes.Гройсман","votes.УДАР","votes.Саакашвили","votes.Коломойский","votes.Черкащани","votes.Партия вольных демократов","votes.Совесть Украины","votes.Одарыч","votes.Матковский","votes.Мамай","votes.Фельдман","votes.Зинькевич","votes.Степанов","votes.Коломак","votes.Кошляк","votes.Пономарь","votes.Муц","votes.Анушкевичус","votes.Кулинич","votes.Слободян","votes.А.Дятлов","votes.Найда","votes.Молодёжная партия Украины","votes.Мухтаров","votes.Хортив","votes.Денищенко","votes.Козюберда","votes.Маслов","votes.Рогалев","votes.Феленко","votes.Цибуля","votes.Татарченко","votes.Ярош","votes.Литвинов","votes.Бессонный","votes.Сергиенко","votes.Пучков","votes.Чиж","votes.Дебой","votes.Кизин","votes.Шелудченко","votes.Буравков","votes.Давиденко","votes.Сальдо","votes.Погребной","votes.Гордеев","votes.Дмитриев","votes.Яременко","votes.Богданов","votes.Опанащенко","votes.Силенков","votes.Новые лица","votes.Катеринчук","votes.Добкин","votes.Райнин","votes.Тигипко","votes.Симоненко","votes.Коба","votes.Бугайчук","votes.Левченко","votes.Блок В.Миколаенко","votes.Левая оппозиция","votes.Партия «Херсонцы»","votes.ЛПУ","votes.Гирин","votes.Самойлик","votes.Мочанов","votes.Ильенко","votes.Александровская","votes.Кожемяко","votes.Маринин","votes.Попов","votes.СПУ","votes.Куличенко","votes.Заяц","votes.Ступак","votes.Шабанов","votes.Скорик","votes.Киван","votes.Гончаренко","votes.Ильюк","votes.Исаков","votes.Кремень","votes.Садиков","votes.Казакова","votes.Бусенков","votes.Романовский","votes.Адамчук","votes.Березкин","votes.Онул","votes.Прокопенко","votes.Кравченко","votes.Гладкий","votes.Струк","votes.Кремечуцкий","votes.Коваленко","votes.Родина","votes.Момот","votes.Епифанцева","votes.Жолобецкий","votes.Арахамия","votes.Янцен","votes.Симченко","votes.Романчук","votes.Надоша","votes.Воля народу","votes.Шурма","votes.Бабурин","votes.Сабашук","votes.Карташов","votes.Самардак","votes.Артюшенко","votes.Пономарчук","votes.Мухин","votes.Березенко","votes.Зверев","votes.Андрейченко","votes.Мищенко","votes.Зуб","votes.Демьяненко","votes.Пармс","votes.Мельник","votes.Захорольский","votes.Лесничий","votes.Гузенко","votes.Матвийчук","votes.Чекита","votes.Гриневецкий","votes.Дануца","votes.Топчий","votes.Марковский","votes.Погребнюк","votes.Саинсус","votes.Луценко","votes.Емец","votes.Козырь","votes.Антощенко","votes.Ентин","votes.Токарь","votes.Матыцин","votes.Холод","votes.Алайбов","votes.Албу","votes.Азаров","votes.Дубенко","votes.Оробец","votes.Кисловский","votes.Кужель","votes.Пилипишин","votes.Макеенко","votes.Партия регионов","votes.Украина - Вперёд!","votes.Бондарчук","votes.Зеленая планета","votes.Национальный рух Д.Яроша","votes.Объединение правых партий","votes.Партия Вакарчука","votes.Блок Левых Сил","votes.Партия участников АТО","votes.Заступ","votes.Украина - единая страна","votes.Фронт перемен","votes.Центр","votes.Украинский выбор","votes.Наша Украина","votes.ПЗУ","votes.Народная партия","votes.ПСПУ","votes.Русский блок","votes.УП Собор","votes.Україна Майбутнього","votes.Зелёные","votes.Каплин","votes.Богомолец","votes.Ахметов","votes.Гриненко","votes.Цушко","votes.Царёв","votes.Парубий","votes.Медведчук","votes.Билецкий","votes.Наливайченко","votes.Янукович","votes.Ющенко","votes.Богословская","votes.Литвин","votes.Витренко"
"10.2","6.7","5.6","3.2","1.4","1.3","0.8","Українське демократичне коло","31.05.2018 - 06.06.2018","625","личное интервью","https://znaj.ua/ru/politics/vybory-mera-kyeva-rasstanovka-syl-kardynalno-yzmenylas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Українське демократичне коло","31.05.2018 - 06.06.2018","625","личное интервью","https://znaj.ua/ru/politics/vybory-mera-kyeva-rasstanovka-syl-kardynalno-yzmenylas","11.8","9.9","8.8","7.4","6.1","4.5","4.5","3.5","3.4","3","10.40","4.30","21.10","1.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.6",,,,,,,"Українське демократичне коло","31.05.2018 - 06.06.2018","625","личное интервью","https://znaj.ua/ru/capital/kyevlyane-nazvaly-budushego-prezydenta-y-partyyu-lydera",,,,,,,,,,,"15.40","3.50","14.50","1.90","13.4","8.8","8.8","8.2","5.8","4.2","4","3.7","3.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Українське демократичне коло","31.05.2018 - 06.06.2018","625","личное интервью","https://znaj.ua/ru/capital/kyevlyane-nazvaly-budushego-prezydenta-y-partyyu-lydera","13.6","10.4","7.8","7.4","5.8","5.1","5.8","3.8","3.7","3.4","9.50","3.80","18.10","1.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"The Belgium-Ukraine Research Institute (BURI)","14.05.2018 - 25.05.2018","2024","личное интервью","http://leuropeennedebruxelles.com/520607/ukraine-voters-strive-for-new-faces-eight-parties-to-enter-the-parliament-and-rabinovich-and-boyko-to-share-voters-affinity-in-the-east-poll-suggests.html",,,,,,,,,,,"21.40",,"24.70",,"8","6.1","3.1",,"1.4","16.2",,"4","11.4","3.7","2.2 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая группа «Рейтинг» от имени IRI","20.01.2017 - 12.02.2017","19000","личное интервью","http://ratinggroup.ua/ru/research/ukraine/tretiy_vseukrainskiy_municipalnyy_opros.html","12",,"7","5",,,"5","7","6","7","17.00",,"22.00",,,,,,,,,,,,"3.5 %","6","3","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая группа «Рейтинг» от имени IRI","20.01.2017 - 12.02.2017","19000","личное интервью","http://ratinggroup.ua/ru/research/ukraine/tretiy_vseukrainskiy_municipalnyy_opros.html","17",,"9","2",,"2","7","6","3","11","9.00",,"28.00",,,,,,,,,,,,"3.5 %","4",,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая группа «Рейтинг» от имени IRI","20.01.2017 - 12.02.2017","19000","личное интервью","http://ratinggroup.ua/ru/research/ukraine/tretiy_vseukrainskiy_municipalnyy_opros.html","12",,"13","4",,"5","5","8","4","6","26.00",,"6.00",,,,,,,,,,,,"3.5 %",,,,"11","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая группа «Рейтинг» от имени IRI","20.01.2017 - 12.02.2017","19000","личное интервью","http://ratinggroup.ua/ru/research/ukraine/tretiy_vseukrainskiy_municipalnyy_opros.html","12",,"6","4",,,"12","6","4","2","15.00",,"24.00",,,,,,,,,,,,"3.5 %","1",,,,,"11","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Социологическая группа «Рейтинг» от имени IRI","20.01.2017 - 12.02.2017","19000","личное интервью","http://ratinggroup.ua/ru/research/ukraine/tretiy_vseukrainskiy_municipalnyy_opros.html","9",,"8","5",,"2","5","6","2","4","16.00",,"36.00",,,,,,,,,,,,"3.5 %","4",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
